val,iteration,memory_cost_raw,memory_cost_quantized,memory_cost_noisy,latency_sec
0,0,4845568,16777216,5155101,1.2050426006317139
0,1,4796416,16777216,5283789,1.168797254562378
0,2,4960256,16777216,5140278,1.1969959735870361
0,3,4997120,16777216,4932598,1.1836323738098145
0,4,4935680,16777216,4921844,1.1810362339019775
0,5,5005312,16777216,5433955,1.1659088134765625
0,6,4988928,16777216,4791151,1.1661655902862549
0,7,4911104,16777216,4875495,1.1984806060791016
0,8,4980736,16777216,4722000,1.167668104171753
0,9,4972544,16777216,4536674,1.183295726776123
16,0,35233792,50331648,34923297,1.1714472770690918
16,1,35229696,50331648,35347153,1.1776800155639648
16,2,35336192,50331648,35240752,1.1757903099060059
16,3,35246080,50331648,35366528,1.1621384620666504
16,4,35389440,50331648,35343589,1.1841425895690918
16,5,35336192,50331648,35552551,1.1919691562652588
16,6,35401728,50331648,35613745,1.183340311050415
16,7,35266560,50331648,35149775,1.185671091079712
16,8,35225600,50331648,35577714,1.1922051906585693
16,9,35328000,50331648,35576609,1.1891262531280518
32,0,65622016,67108864,65529104,1.1839520931243896
32,1,65581056,67108864,65897707,1.1768043041229248
32,2,65703936,67108864,65850742,1.161952018737793
32,3,65568768,67108864,65264185,1.186124563217163
32,4,65609728,67108864,65816512,1.169152021408081
32,5,65724416,67108864,65914585,1.184004545211792
32,6,65679360,67108864,65759367,1.1752986907958984
32,7,65671168,67108864,65272357,1.1882667541503906
32,8,65724416,67108864,65533108,1.181060791015625
32,9,65646592,67108864,65547734,1.180234670639038
48,0,96100352,100663296,96208787,1.1706950664520264
48,1,96092160,100663296,96154837,1.1898548603057861
48,2,96096256,100663296,96455767,1.1733026504516602
48,3,96022528,100663296,95936023,1.1840317249298096
48,4,95948800,100663296,96482405,1.1841495037078857
48,5,96018432,100663296,95908381,1.1825878620147705
48,6,96002048,100663296,96186747,1.1745092868804932
48,7,95948800,100663296,95365721,1.1818275451660156
48,8,95956992,100663296,96032188,1.1807241439819336
48,9,96071680,100663296,96078232,1.1876153945922852
64,0,126476288,134217728,126415836,1.20536208152771
64,1,126410752,134217728,126530181,1.1840779781341553
64,2,126365696,134217728,126524778,1.1783549785614014
64,3,126517248,134217728,126674114,1.1794054508209229
64,4,126410752,134217728,126304946,1.182633876800537
64,5,126541824,134217728,126514849,1.1812267303466797
64,6,126447616,134217728,126441409,1.1758923530578613
64,7,126414848,134217728,126742864,1.180769920349121
64,8,126529536,134217728,126555934,1.1984963417053223
64,9,126373888,134217728,126247624,1.1707446575164795
80,0,156848128,167772160,157260093,1.190946102142334
80,1,156766208,167772160,156570823,1.1799228191375732
80,2,156880896,167772160,157338564,1.1813175678253174
80,3,156925952,167772160,156736618,1.1660645008087158
80,4,156889088,167772160,157261388,1.1756901741027832
80,5,156831744,167772160,157021605,1.1869432926177979
80,6,156823552,167772160,156452069,1.1854946613311768
80,7,156930048,167772160,156932316,1.1773927211761475
80,8,156778496,167772160,156767528,1.1897368431091309
80,9,156917760,167772160,157346670,1.1750502586364746
96,0,187301888,201326592,186670178,1.1814265251159668
96,1,187219968,201326592,187378904,1.1743671894073486
